TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
ATL	ATL vs. BOS	11/16/2022	L	48	101	42	101	41.6	7	32	21.9	10	13	76.9	14	31	45	21	9	5	5	11	-25
OKC	OKC @ WAS	11/16/2022	W	48	121	44	81	54.3	16	31	51.6	17	26	65.4	9	28	37	24	15	4	7	22	1
WAS	WAS vs. OKC	11/16/2022	L	48	120	44	86	51.2	17	34	50.0	15	17	88.2	11	30	41	32	19	8	5	20	-1
IND	IND @ CHA	11/16/2022	W	48	125	44	82	53.7	11	28	39.3	26	31	83.9	7	27	34	27	14	11	9	18	12
GSW	GSW @ PHX	11/16/2022	L	48	119	42	92	45.7	18	42	42.9	17	17	100	6	34	40	30	17	5	3	23	-11
MIL	MIL vs. CLE	11/16/2022	W	48	113	41	86	47.7	16	39	41.0	15	27	55.6	13	39	52	26	14	5	6	16	15
MIA	MIA @ TOR	11/16/2022	L	48	104	36	66	54.5	13	35	37.1	19	22	86.4	4	19	23	19	23	5	4	20	-8
TOR	TOR vs. MIA	11/16/2022	W	48	112	44	86	51.2	7	26	26.9	17	22	77.3	16	26	42	23	14	5	3	23	8
DAL	DAL vs. HOU	11/16/2022	L	48	92	31	102	30.4	12	55	21.8	18	19	94.7	13	25	38	21	6	9	2	19	-9
NOP	NOP vs. CHI	11/16/2022	W	48	124	43	85	50.6	17	33	51.5	21	24	87.5	12	34	46	30	15	4	6	18	14
ORL	ORL vs. MIN	11/16/2022	L	48	108	42	93	45.2	9	35	25.7	15	17	88.2	12	35	47	21	16	6	5	26	-18
DEN	DEN vs. NYK	11/16/2022	L	48	103	36	82	43.9	14	38	36.8	17	20	85.0	8	34	42	18	15	3	5	25	-3
HOU	HOU @ DAL	11/16/2022	W	48	101	35	75	46.7	10	22	45.5	21	24	87.5	9	47	56	21	23	1	19	19	9
POR	POR vs. SAS	11/15/2022	W	48	117	41	79	51.9	15	32	46.9	20	26	76.9	9	30	39	22	17	6	3	17	7
DAL	DAL vs. LAC	11/15/2022	W	48	103	35	80	43.8	17	43	39.5	16	24	66.7	8	26	34	20	12	12	1	20	2
LAC	LAC @ DAL	11/15/2022	L	48	101	34	64	53.1	12	28	42.9	21	26	80.8	3	37	40	23	21	8	2	27	-2
NOP	NOP vs. MEM	11/15/2022	W	48	113	43	91	47.3	18	38	47.4	9	12	75.0	7	36	43	31	10	2	8	20	11
NYK	NYK @ UTA	11/15/2022	W	48	118	44	93	47.3	11	32	34.4	19	25	76.0	13	30	43	26	14	10	3	25	7
UTA	UTA vs. NYK	11/15/2022	L	48	111	36	83	43.4	14	43	32.6	25	30	83.3	15	34	49	29	21	7	5	22	-7
